route_no,stop_sequence,stop_name,latitude,longitude
251E,18,SRS Jalahalli Cross,13.03422844,77.53034623
251E,19,Peenya 1st stage,13.03541374,77.52633088
251E,20,Jalahalli Cross,13.0384499487,77.5183223281
251E,21,System Jalahalli Cross,13.0349750492869,77.5180530152307
251E,22,TVS Cross,13.0274656602299,77.5202097461948
251E,23,Rajagopala Nagara Police Station,13.0237221508969,77.5218548774689
251E,24,Laggere Cross,13.0217799099515,77.5227384638287
251E,25,MEI Colony,13.0200859532,77.5208252482
251E,26,Parvathi Nagar,13.0163802885483,77.5203619526771
251E,27,Laggere,13.0104310505389,77.5249467306941
251G,1,Krishnarajendra Market,12.964049,77.577499
251G,2,Town Hall,12.96393155,77.58425661
251G,3,Corporation,12.9685279448,77.5864692125
251G,4,Cauvery Bhavana,12.972107688,77.5824879762
251G,5,Kempegowda Bus Station,12.978678,77.573219
251G,6,Central,12.9896777496,77.5717054121
251G,7,Malleshwaram Circle,12.9978901319732,77.5713099939793
251G,8,Malleshwaram 8th Cross,12.99966,77.57128
251G,9,Malleshwaram 15th Cross,13.005030714,77.5711547211
251G,10,Malleshwaram 18th Cross,13.0090816878,77.5710476004
251G,11,Tata Institute,13.01565694,77.56289701
251G,12,Yeshawanthapura TTMC,13.017420746122461,77.55707759428026
251G,13,Govardhan Talkies,13.01856,77.5532
251G,14,YPR RMC,13.02413089,77.54796652
251G,15,MEI Guragunte Palya,13.02639399,77.54394798
251G,16,Goragunte Palya,13.0286869,77.53990578
251G,17,CMTI Goragunte Palya,13.03046443,77.53663904
251G,18,SRS Jalahalli Cross,13.03422844,77.53034623
251G,19,Peenya 1st stage,13.03541374,77.52633088
251G,20,Jalahalli Cross,13.03825145,77.52110322
251G,21,T Dasarahalli,13.04299089,77.5124183
251G,22,Tumkur Road 8th Mile,13.0460511012537,77.5074918591098
251G,23,Widia School Bagalagunte,13.0511002806152,77.5076984613592
251G,24,Bagalagunte,13.0562517699,77.5073038973
251G,25,Bone Mill,13.063843,77.505073
251G,26,Sapthagiri College Chikka Banawara,13.0668690461258,77.5032413827418
251G,27,Janapriya Apartments,13.0734588211303,77.5030843996981
251G,28,Chikkabanawara Railway Gate,13.0755066779,77.50461163
251G,29,Chikka Banawara Sante Beedi,13.0804893022539,77.5024000363525
251G,30,Chikkabanawara,13.0819034579747,77.5002161861082
251G,31,Dwarka Nagar Chikkabanavara,13.0878809526458,77.4950012881274
251G,32,Soladevana Halli Police Station,13.0934014066581,77.4888072341528
251G,33,Tharabana Halli Hesaraghatta,13.1012202886418,77.4809153643706
251G,34,Tharabana Halli Choultry,13.105492854315,77.4792566056206
251G,35,Thore Nagasandra cross,13.11192,77.48184
